name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
COM113_5,0.681006,-1.0,-1.0,-1.0,87,26,-1,-1,-1,-1
COM177^1,0.369028,0.874908,0.000287,30.194,258,11,17880,1987,0,-1
COM167^1,0.196699,0.200285,0.005611,1.132,193,67,2158,255,1,1
ITP187^2,0.274148,0.840499,0.117018,6.133,102,340,12717,854,1,1
DAT252^1,0.712044,0.639894,-1.0,-1.0,357,4,7789,1383,-1,-1
DAT289^1,0.030543,0.006297,0.000237,-1.0,6,1,144,14,0,-1
DAT159^1,0.100869,0.009217,0.000265,0.267,18,52,0,0,0,1
ITP007^7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP186^2,0.393887,0.297176,0.083547,2.149,83,374,5006,727,1,1
DAT205^1,0.808874,1.114463,-1.0,-1.0,416,22,19304,1994,-1,-1
LCL781_5,0.099557,0.021734,-1.0,-1.0,3,78,308,16,-1,-1
ITP242^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP258_2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP268_2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP019_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP004_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL762_5,0.162920,0.380642,0.023652,1.630,48,108,7087,371,1,1
NUM973_5,0.067149,0.072168,-1.0,-1.0,35,78,840,105,-1,-1
SCT234_5,0.271997,-1.0,-1.0,-1.0,46,29,-1,-1,-1,-1
ITP049^2,0.509088,1.421752,0.118153,7.580,132,45,22500,968,1,1
SCT192_5,0.231860,-1.0,-1.0,-1.0,67,13,-1,-1,-1,-1
ITP271^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP228^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
NUN047^1,0.040010,0.000412,-1.0,-1.0,1,5,8,1,-1,-1
DAT293^1,0.014190,0.005708,0.000240,-1.0,10,2,76,10,0,-1
DAT288^1,0.008639,0.003315,0.000241,29.825,6,2,48,6,0,-1
SEV483^1,0.035677,0.019929,-1.0,-1.0,12,1,492,64,-1,-1
NUN010_5,0.146375,0.029692,-1.0,-1.0,10,84,160,20,-1,-1
SEV449^1,0.022432,0.005480,0.000228,-1.0,12,3,84,12,0,-1
SWW528_5,0.108128,0.047695,0.000213,29.867,39,1,646,102,0,-1
DAT209^1,0.133264,0.002763,-1.0,-1.0,5,21,40,5,-1,-1
SWV799_5,0.146449,0.029306,-1.0,-1.0,0,128,0,0,-1,-1
ITP219^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SEV474^1,0.067818,0.017014,0.001953,-1.0,19,3,398,28,0,-1
ITP221^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL827_5,0.840878,-1.0,-1.0,-1.0,12,106,-1,-1,-1,-1
ANA093^1,0.008775,0.000439,0.000213,-1.0,1,3,8,1,0,-1
ITP014^7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP267^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL800_5,0.080514,0.010016,0.002731,0.247,10,65,80,10,1,1
ITP014^3,0.124841,0.025473,0.000245,-1.0,18,167,252,18,0,-1
SCT251_5,0.166063,10.826767,0.000234,30.061,45,76,43729,551,0,-1
ANA102^1,0.034170,0.004663,0.005188,0.156,6,4,48,6,1,1
COM102_5,0.357307,-1.0,-1.0,-1.0,104,40,-1,-1,-1,-1
ITP286^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP078^2,0.264325,1.325300,0.000262,-1.0,215,141,37057,1773,0,-1
SWW521_5,0.154431,0.190263,0.013921,4.097,54,38,3462,408,1,1
ITP231^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP234^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SYN000^3,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWV723_5,0.037805,0.043602,-1.0,-1.0,21,85,696,86,-1,-1
SCT239_5,0.064436,0.033536,0.002753,0.214,55,4,440,55,1,1
SEV482^1,0.027584,0.018683,0.013163,0.623,5,7,375,36,1,1
COM046_5,0.150843,0.339688,-1.0,-1.0,44,43,5484,384,-1,-1
COM083_5,0.281877,2.687542,-1.0,-1.0,140,34,35608,1656,-1,-1
LCL842_5,0.124446,0.104951,-1.0,-1.0,28,94,1905,181,-1,-1
COM108_5,0.320884,10.155426,0.000460,-1.0,96,24,34871,1160,0,-1
NUM961_5,0.087244,0.028186,-1.0,-1.0,8,104,128,16,-1,-1
ITP217^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP283^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP005_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT322^1,0.037282,0.000523,0.000277,-1.0,2,1,8,0,0,-1
ANA069^1,0.040823,0.000344,0.004512,0.112,0,8,0,0,1,1
DAT267^1,0.029339,0.000528,0.000216,-1.0,2,1,8,0,0,-1
ITP188^2,0.506160,1.193506,0.115206,17.597,122,380,18873,922,1,1
NUN002_5,0.056707,0.000013,0.000232,0.189,0,1,0,0,0,0
SWW540_5,0.233814,0.325688,-1.0,-1.0,91,6,5134,653,-1,-1
NUM946_5,0.119921,0.047350,-1.0,-1.0,25,84,400,50,-1,-1
NUM964_5,0.067151,0.034329,-1.0,-1.0,21,83,168,21,-1,-1
LCL835_5,0.140620,0.111759,0.016225,0.969,28,93,1999,189,1,1
ANA076^1,0.033773,0.003287,0.007150,0.118,2,12,16,2,1,1
ITP246_2,7.400747,-1.0,-1.0,-1.0,268,1889,-1,-1,-1,-1
DAT153^1,0.188377,0.078539,0.006430,0.543,93,169,580,79,1,1
ITP133^2,0.508169,0.461125,0.055329,5.166,193,113,7999,1298,1,1
COM095_5,0.120741,0.233878,0.017027,1.184,51,13,3290,286,1,1
LCL757_5,0.176398,0.188998,-1.0,-1.0,94,92,3394,579,-1,-1
ITP161^2,0.389659,1.388634,0.083481,12.753,335,43,29188,1946,1,1
ITP006_3,0.118690,0.197818,0.036165,2.779,24,107,4655,240,1,1
ITP229_2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SEV488^1,0.040555,0.017255,0.000223,-1.0,14,3,344,63,0,-1
ITP286_2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP216^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWV795_5,0.134256,0.025046,-1.0,-1.0,0,119,0,0,-1,-1
SWW535_5,0.189505,0.137127,0.008887,15.371,66,16,1596,282,1,1
ANA109^1,0.049133,0.000484,0.000204,0.317,1,2,8,1,0,1
ITP199^2,0.257558,0.248110,0.004609,1.325,173,125,3632,492,1,1
NUM974_5,0.065376,0.032398,0.004096,0.283,15,104,240,30,1,1
ITP053^2,0.289755,0.539430,0.000279,30.062,116,141,8238,477,0,-1
COM056_5,0.257874,-1.0,-1.0,-1.0,101,55,-1,-1,-1,-1
LCL789_5,0.185308,5.732989,0.038082,17.987,39,69,20780,544,1,1
LCL839_5,0.197750,0.040484,0.006170,0.622,4,102,658,28,1,1
ITP035^2,0.377495,0.440925,0.000256,-1.0,119,117,13650,904,0,-1
ITP229^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
SWW479_5,0.063286,0.091736,-1.0,-1.0,61,74,1464,183,-1,-1
DAT271^1,0.021221,0.000663,0.000270,-1.0,2,3,8,0,0,-1
NUM989_5,0.068452,0.068272,-1.0,-1.0,31,116,492,62,-1,-1
LCL805_5,0.147901,-1.0,-1.0,-1.0,25,87,-1,-1,-1,-1
NUM969_5,0.039202,0.057517,-1.0,-1.0,35,105,280,35,-1,-1
ANA128^1,0.048967,0.007804,-1.0,-1.0,12,5,94,12,-1,-1
SYN000_3,0.025391,0.000509,0.000216,29.946,3,1,0,0,0,-1
ITP023^3,0.038152,0.000286,0.004075,0.099,0,4,0,0,1,1
ITP211^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
NUM960_5,0.112371,0.087529,0.012710,1.172,39,122,858,117,1,1
ITP261^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT260^1,0.033347,0.000530,0.000201,-1.0,2,1,8,0,0,-1
SWV625_5,0.074401,0.214212,-1.0,-1.0,102,93,3176,408,-1,-1
DAT297^1,0.009409,0.004146,0.000234,-1.0,3,1,90,3,0,-1
ANA068^1,0.031148,0.001150,0.004537,0.083,4,2,32,4,1,1
ITP024_7,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP162^2,0.356626,0.388864,0.000241,-1.0,240,9,6848,817,0,-1
SWV577_5,0.270373,-1.0,-1.0,-1.0,47,107,-1,-1,-1,-1
ITP219^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
LCL825_5,0.586263,-1.0,-1.0,-1.0,20,124,-1,-1,-1,-1
SWW509_5,0.087649,0.454984,-1.0,-1.0,85,41,6372,683,-1,-1
ITP020^3,0.009688,0.004009,0.001896,0.081,2,2,128,4,1,1
ITP010^3,0.073321,0.004373,0.002462,0.326,7,121,0,0,1,1
SWW497_5,0.062784,0.056606,0.007413,0.568,30,75,942,120,1,1
SEV490^1,0.031285,0.014714,-1.0,-1.0,18,5,310,41,-1,-1
ITP282^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
