name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
ITP222^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
NUN006_5,0.024811,0.048818,0.000214,30.195,-1,-1,136,34,0,-1
NUM971_5,0.012633,0.018605,0.000223,0.031,-1,-1,0,0,0,0
LCL778_5,0.087345,0.215321,0.010383,0.314,-1,-1,1391,178,1,1
DAT264^1,0.008206,0.013873,0.000187,29.940,-1,-1,4,0,0,-1
ANA104^1,0.007001,0.014176,0.000202,30.107,-1,-1,34,5,0,-1
COM104_5,0.186823,-1.0,0.000236,32.194,-1,-1,-1,-1,0,-1
ITP275^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ANA095^1,0.007095,0.013776,0.000209,0.152,-1,-1,4,0,0,1
SWV747_5,0.053620,0.071227,0.000250,30.249,-1,-1,29,8,0,-1
ITP043^2,0.139475,0.898545,0.000243,38.469,-1,-1,7455,998,0,-1
DAT238^1,0.058735,0.107893,0.000215,30.254,-1,-1,264,44,0,-1
PRO025^1,0.192850,0.851720,0.088769,2.981,-1,-1,7324,800,1,1
COM092_5,0.140895,-1.0,0.000281,31.266,-1,-1,-1,-1,0,-1
DAT219^1,0.164500,0.715980,0.023637,1.080,-1,-1,7173,713,1,1
ITP114^2,0.075812,0.121465,0.016170,0.211,-1,-1,192,39,1,1
ITP170^2,0.109768,0.145622,0.007983,0.275,-1,-1,114,26,1,1
ITP255^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT320^1,0.010209,0.021078,0.003115,0.031,-1,-1,36,9,1,1
SCT254_5,0.096999,0.519626,0.000226,30.652,-1,-1,9679,336,0,-1
COM053_5,0.065474,9.818229,0.000220,40.056,-1,-1,23016,444,0,-1
ITP070^2,0.131978,0.522915,0.000199,29.920,-1,-1,5904,918,0,-1
ITP263^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP085^2,0.075966,0.202123,0.000268,30.353,-1,-1,933,340,0,-1
ITP271^4,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
DAT125^1,0.137844,3.303548,0.001833,33.898,-1,-1,24374,960,0,-1
SCT262_5,0.149463,0.384007,0.000369,30.574,-1,-1,3135,83,0,-1
COM170^1,0.076066,0.236877,0.012093,2.010,-1,-1,1424,235,1,1
ITP044^2,0.113987,0.628544,0.000225,33.241,-1,-1,4621,798,0,-1
COM164^1,0.053586,0.215698,0.000202,38.817,-1,-1,2951,187,0,-1
ITP084^2,0.080144,0.230292,0.000254,30.402,-1,-1,936,348,0,-1
