name,zipp time,mono time,e time,total time,poly cl,mono cl,all subst,new cl,mono win,status
#30_-1_2_9_-1_1_6_10_-1_2_1_500_4_10
LCL746_5,1.996648,-1.0,-1.0,-1.0,235,414,-1,-1,-1,-1
COM152^1,6.621992,2.356917,0.000486,30.044,311,59,30735,693,0,-1
SCT194_5,0.637011,-1.0,-1.0,-1.0,188,187,-1,-1,-1,-1
SCT236_5,3.329389,-1.0,-1.0,-1.0,514,573,-1,-1,-1,-1
SWW475^2,1.294389,0.119138,-1.0,-1.0,6,708,0,0,-1,-1
LCL840_5,2.491476,21.509414,0.010929,27.498,241,382,71969,395,1,1
DAT174^1,0.180375,0.310493,-1.0,-1.0,204,13,7392,434,-1,-1
ITP003_3,0.145850,0.741148,0.025095,23.853,58,276,8942,457,1,1
DAT235^1,0.886877,0.258749,0.000252,-1.0,232,68,2334,225,0,-1
ITP237_2,5.829170,-1.0,-1.0,-1.0,2515,1993,-1,-1,-1,-1
DAT150^1,1.529894,-1.0,-1.0,-1.0,712,378,-1,-1,-1,-1
DAT283^1,6.253326,0.102699,0.000247,-1.0,25,1,1516,50,0,-1
SCT199_5,1.638686,-1.0,-1.0,-1.0,243,419,-1,-1,-1,-1
COM088_5,0.754538,-1.0,-1.0,-1.0,265,55,-1,-1,-1,-1
ITP219_2,5.620908,-1.0,-1.0,-1.0,2250,670,-1,-1,-1,-1
COM209^1,6.203748,-1.0,-1.0,-1.0,1400,432,-1,-1,-1,-1
SWV731_5,0.302007,0.200158,-1.0,-1.0,24,519,2685,164,-1,-1
SWW475^1,1.438038,0.120746,-1.0,-1.0,9,574,0,0,-1,-1
DAT223^1,6.121024,-1.0,-1.0,-1.0,579,123,-1,-1,-1,-1
COM030_5,2.486561,5.994272,-1.0,-1.0,318,334,41622,793,-1,-1
DAT279^1,7.399899,0.098349,0.000288,-1.0,16,1,1096,31,0,-1
ITP025^3,0.503294,0.199997,-1.0,-1.0,89,124,2372,268,-1,-1
#30_50_2_3_-1_1_6_10_-1_30_3_-1_5_90
DAT282^1,-1.0,-1.0,-1.0,0.011,-1,-1,-1,-1,-1,1
SCT177_5,-1.0,-1.0,-1.0,0.030,-1,-1,-1,-1,-1,0
ANA072^1,-1.0,-1.0,-1.0,0.041,-1,-1,-1,-1,-1,1
SWW504_5,-1.0,-1.0,-1.0,0.053,-1,-1,-1,-1,-1,1
ANA071^1,-1.0,-1.0,-1.0,0.056,-1,-1,-1,-1,-1,1
LCL755_5,-1.0,-1.0,-1.0,0.082,-1,-1,-1,-1,-1,1
ANA084^1,-1.0,-1.0,-1.0,0.047,-1,-1,-1,-1,-1,1
SCT229_5,-1.0,-1.0,-1.0,0.093,-1,-1,-1,-1,-1,1
ANA092^1,0.129789,0.017732,0.000755,0.189,2,95,0,0,1,1
ITP123^2,0.118085,0.025016,0.003969,0.238,0,327,0,0,1,1
ANA108^1,-1.0,-1.0,-1.0,0.199,-1,-1,-1,-1,-1,1
ITP177^2,-1.0,-1.0,-1.0,0.283,-1,-1,-1,-1,-1,1
DAT124^1,0.724121,0.347585,0.026169,1.641,281,260,3760,499,1,1
ANA079^1,-1.0,-1.0,-1.0,0.110,-1,-1,-1,-1,-1,1
SWW567_5,-1.0,-1.0,-1.0,0.397,-1,-1,-1,-1,-1,1
ITP009^3,1.185776,0.546907,0.018080,2.052,159,222,6884,317,1,1
ITP042^2,0.505702,5.320896,0.133243,6.538,401,84,107846,965,1,1
COM037_5,4.458571,1.792938,0.002116,8.181,292,685,12580,1015,1,1
ITP037^2,-1.0,-1.0,-1.0,0.159,-1,-1,-1,-1,-1,1
ITP101^2,1.372067,0.513457,0.000438,10.198,184,387,6240,760,0,1
DAT234^1,0.681139,0.282593,0.000239,11.905,243,87,2960,240,0,1
ITP265^2,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
ITP011_3,0.540462,8.365922,0.000340,29.793,204,119,21932,638,0,-1
ITP004^3,1.386347,0.244176,0.000235,-1.0,187,281,6182,936,0,-1
DAT306^1,3.010374,0.226095,-1.0,-1.0,99,217,2676,277,-1,-1
SWV597_5,5.999946,0.636943,-1.0,-1.0,191,283,216,27,-1,-1
SEV462^1,5.653334,-1.0,-1.0,-1.0,459,151,-1,-1,-1,-1
ANA088^1,0.245158,0.034105,-1.0,-1.0,15,161,128,14,-1,-1
NUM966_5,0.184014,0.082212,-1.0,-1.0,19,205,304,38,-1,-1
SWV621_5,2.061102,-1.0,-1.0,-1.0,226,121,-1,-1,-1,-1
COM026_5,0.084768,0.166616,-1.0,-1.0,75,43,4437,227,-1,-1
SCT243_5,-1.0,-1.0,-1.0,0.231,-1,-1,-1,-1,-1,1
